category,technique_name,description
狂野,反方案,专门生成让问题更糟或更有趣的做法（问：怎么把它搞砸／怎么让它惨败／怎么造出更多问题），从破坏里看出假设
狂野,量子叠加,同时持住多个互相矛盾的解法、等观察与试验让它收敛（问：如果全都能成立／矛盾怎么共存），最后再观测定夺
狂野,元素之力,想象解法由自然元素塑形（土会怎么雕它／火会怎么铸它／水怎么流过它／风揭示什么），取原始创造力
仿生,自然解法,研究大自然怎么解同类问题并搬用生物策略（问：自然界的解法是什么／哪个生态系统可类比／什么生物策略适用）——37 亿年演化智慧
仿生,生态系统思维,把问题当生态系统看（找共生关系→看自然演替→套生态原则），用系统眼光理解嵌套与依存
仿生,演化压力,给解法施加选择压力、逐代改良（问：演化会怎么优化它／选择压力是什么／它随时间怎么适配），借自然选择的耐心
量子,观察者效应,意识到观察与测量本身会改变解法（问：观察改变了什么／哪种测量有影响），并主动利用这个效应
量子,纠缠思维,看解法各部分如何跨越距离仍然相关（问：哪些元素是纠缠的／远端部分怎么互相影响／有什么隐藏连接）
量子,叠加坍缩,在约束逼出唯一解之前同时保留多个可能解（问：如果全都有可能／是什么约束逼出坍缩／观测到哪个解），借量子决策观
文化,原住民智慧,到传统知识体系里找被现代思维忽略的路数（问：某个文化会怎么处理／有什么传统知识／祖先的智慧怎么指路）
文化,融合料理,像融合菜那样混搭文化视角（问：把 A 文化和 B 文化混在一起会怎样／出现什么混血品类），用文化交叉做创新
文化,仪式创新,用仪式设计原则做有转化力的体验（问：什么仪式能转化它／怎么让它有仪式感／它需要什么样的转化），把人类学洞见用于以人为中心的设计
文化,神话框架,用神话与原型故事当理解问题的框架（问：哪个神话与它平行／涉及哪些原型／神话结构怎么启示解法），接入集体潜意识
