num,category,method_name,description,output_pattern
44,框定,重述问题（Reframe the Question）,质疑所陈述的问题是否真是问题；常常问题本身错了、换个框答案自现。,stated problem → reframe → true problem → solution
45,框定,利益相关方透镜轮转（Stakeholder Lens Rotation）,依次代入每个利益相关方的世界观看同一情境；暴露谁的需求被忽略。,perspective A → B → C → gaps found
46,学习,费曼技巧（Feynman Technique）,把复杂概念讲到像教小孩一样简单；真正的理解经不起含糊。,complex → simple → gaps → mastery
47,学习,主动回忆测试（Active Recall Testing）,不看参考资料自测理解；用于找出真实缺口。,test → gaps → reinforcement
48,学习,刻意练习循环（Deliberate Practice Loop）,锁定一个具体子技能、带即时反馈反复练再调整再重复；针对性改进优于泛泛重复。,isolate → drill → feedback → adjust → repeat
49,哲学,奥卡姆剃刀（Occam's Razor Application）,消除不必要的复杂度、找最简充分解释；调试必备。,options → simplification → selection
50,哲学,电车难题变体（Trolley Problem Variations）,借道德困境探索伦理取舍；用于理解价值观与艰难决策。,dilemma → analysis → decision
51,研究,文献综述人设（Literature Review Personas）,由乐观派、怀疑派、综合者三类研究者评述来源；平衡评估证据质量。,sources → critiques → synthesis
52,研究,论文答辩模拟（Thesis Defense Simulation）,学生面对关注点各异的委员会为假设辩护；压力测试研究方法与结论。,thesis → challenges → defense → refinements
53,研究,比较分析矩阵（Comparative Analysis Matrix）,多名分析者按加权准则评估各选项；结构化决策、打分显式。,options → criteria → scores → recommendation
54,研究,来源三角验证（Source Triangulation）,接受一个论断前要求至少三类独立来源（定量、定性、专家）；防单一来源偏差。,claim → source A → source B → source C → confidence rating
55,复盘,后见之明反思（Hindsight Reflection）,想象从未来回看当下以获得视角；项目复盘利器。,future view → insights → application
56,复盘,经验萃取（Lessons Learned Extraction）,系统识别关键收获与可执行改进；持续改进必备。,experience → lessons → actions
57,风险,预演失败分析（Pre-mortem Analysis）,先想象未来的失败再倒推预防；重大发布前的风险缓解利器。,failure scenario → causes → prevention
58,风险,失效模式分析（Failure Mode Analysis）,系统探索每个组件可能怎么坏；可靠性工程与安全关键系统必备。,components → failures → prevention
59,风险,批判视角挑战（Challenge from Critical Perspective）,扮演魔鬼代言人压力测试想法、找出弱点；克服群体思维必备。,assumptions → challenges → strengthening
60,风险,风险识别（Identify Potential Risks）,按各类别头脑风暴可能出什么错；项目规划与部署准备的基本功。,categories → risks → mitigations
61,风险,混沌猴情景（Chaos Monkey Scenarios）,故意搞坏以测试韧性与恢复；确保系统能优雅降级。,break → observe → harden
62,风险,假设审计（Assumption Audit）,显式列出方案背后的每个假设、按信心与影响打分再压力测试最弱的一环；防在地基不牢处起楼。,list → rate → stress-test → shore up
63,风险,级联失效模拟（Cascading Failure Simulation）,追踪一个组件失效如何沿依赖传播；暴露隐藏耦合与单点故障。,trigger failure → trace propagation → find amplifiers → decouple
64,技术,架构决策记录（Architecture Decision Records）,由多个建筑师人设提出并辩论架构选择、显式记录取舍；确保决策有理有据且留档。,options → trade-offs → decision → rationale
65,技术,橡皮鸭调试进化版（Rubber Duck Debugging Evolved）,把代码讲给越来越懂技术的鸭子听直到找出 bug；强制在多个抽象层级上说清。,simple → detailed → technical → aha
66,技术,算法奥林匹克（Algorithm Olympics）,多个解法在同一问题上用基准测试比拼；靠直接对比找出最优解。,implementations → benchmarks → winner
67,技术,安全审计人设（Security Audit Personas）,由攻击者、防御者、审计员从不同威胁模型审视系统；多角度的安全评审。,vulnerabilities → defenses → compliance
68,技术,性能剖析小组（Performance Profiler Panel）,数据库专家、前端专家、DevOps 工程师共同诊断慢；跨全栈找瓶颈。,symptoms → analysis → optimizations
69,技术,边界与极端值扫查（Boundary & Edge Case Sweep）,系统测试极值（零值、空值、最大值）与类型错配；抓快乐路径思维总会漏掉的失败。,inputs → boundaries → edge cases → failures found
