method,category,name,slug,description,prompts
创新策略,价值链,自制与外购分析,,在垂直整合与外包之间做战略取舍，换取竞争优势,核心能力是什么？|什么带来优势？|什么应该自持？|什么应该合作？|各自的代价是什么？
创新策略,价值链,伙伴战略,,设计战略伙伴与生态打法，高效扩展能力与触达,谁的强项互补？|一起能做成什么？|价值交换是什么？|如何设计结构？|治理模式是什么？
创新策略,技术,技术采用生命周期,,理解创新如何从创新者扩散到落后者，据此择时进场,谁是创新者？|谁是早期采用者？|采用策略是什么？|如何跨越鸿沟？|当前处于哪个阶段？
创新策略,技术,S 曲线分析,,识别技术成熟与市场采用中的拐点，为创新投入择时,我们处在 S 曲线何处？|下一条曲线是什么？|何时该换曲线？|临界点在哪里？|现在该投什么？
创新策略,技术,技术路线图,,让技术能力的演进与战略目标、市场时机对齐,需要哪些能力？|顺序如何？|有哪些依赖？|时间线多长？|先投哪里？
创新策略,技术,开放创新战略,,借用外部创意、技术与上市路径，把创新加速到内部研发之外,哪些可以从外部引入？|谁手里有相关的创新？|如何协作？|知识产权策略是什么？|如何整合外部创新？
创新策略,技术,数字化转型框架,,用数字技术重构商业模式、运营与客户体验,现有哪些数字能力？|它们如何改造我们的模型？|客户体验能怎么改善？|运营效率能怎么提升？|能催生哪些新商业模式？
问题求解,诊断,五问根因法,,连续追问为什么，穿过层层症状直达根因,为什么会出现这个现象？|为什么情况会这样？|为什么那会发生？|那之下还有什么？|根本原因是什么？
问题求解,诊断,鱼骨图,,按人、机、料、法、环等类别铺开所有可能原因，系统遍历原因空间,有哪些人的因素？|有哪些流程问题？|有哪些材料问题？|有哪些设备因素？|有哪些环境条件？
问题求解,诊断,问题陈述精炼,,把含糊的抱怨改写成精确可行动的问题陈述，聚焦解题投入,到底哪里不对？|谁受了影响、怎么受影响？|何时何地发生？|现状与期望差在哪？|为什么它值得解决？
问题求解,诊断,是/不是分析,,用「问题在哪出现、在哪不出现」对照界定边界，收窄排查范围,问题在哪发生？|在哪不发生？|什么时候发生？|什么时候不发生？|谁遇到了？|谁没遇到？|浮现出什么模式？
问题求解,诊断,系统思考,,画出系统要素、反馈回路与杠杆点，理解复杂问题的动态,系统有哪些组成部分？|它们之间是什么关系？|有哪些反馈回路？|存在哪些延迟？|杠杆点在哪里？
问题求解,分析,力场分析,,找出推动解法与阻碍进展的两组力，据此设计干预,哪些力推动解决？|哪些力抵制改变？|哪些力最强？|哪些力可以影响？|策略是什么？
问题求解,分析,帕累托分析,,用 80/20 法则找出值得优先解决的关键少数原因,有哪些原因？|各自频次或影响多大？|累积影响是多少？|关键少数是哪几个？|优先做什么？
问题求解,分析,差距分析,,在多个维度上对照现状与目标状态，定位具体改进点,现状是什么？|目标状态是什么？|存在哪些差距？|差距有多大？|差距由什么造成？|优先补哪里？
问题求解,分析,约束识别,,用约束理论思路找出限制系统表现的瓶颈,约束在哪里？|什么限制了吞吐？|应该优化什么？|抬升约束后会怎样？|下一个约束是什么？
问题求解,分析,失效模式分析,,预判解法可能怎么失败，在问题发生前设计预防,可能出什么错？|可能性多大？|影响多大？|如何预防？|如何及早发现？|缓解措施是什么？
问题求解,综合,TRIZ 矛盾矩阵,,用专利模式分析得出的 40 条发明原理化解技术矛盾,什么变好了？|什么变差了？|矛盾是什么？|适用哪些原理？|如何化解？
问题求解,综合,横向思维技法,,用激发操作与随机进入打断模式化思考，通向新奇解法,做一个激发|挑战假设|使用随机刺激|跳出主导想法|生成替代方案
问题求解,综合,形态分析,,系统组合解法的全部参数组合，找非显而易见的更优配置,关键参数有哪些？|每个参数有哪些选项？|尝试不同组合|浮现出什么模式？|最优组合是什么？
问题求解,综合,仿生问题求解,,向自然界 38 亿年的研发学习，为工程难题找优雅解法,自然界怎么解这个？|有什么生物类比？|哪些原理可迁移？|如何适配？
问题求解,综合,综摄法,,用类比把陌生变熟悉、把熟悉变陌生，激发创造性突破,这像什么？|它们有何相似？|什么隐喻贴合？|这暗示了什么？|浮现出什么洞见？
问题求解,评估,决策矩阵,,按加权准则系统评估各选项，做出客观取舍,有哪些选项？|哪些准则重要？|权重怎么定？|逐项打分|算出得分|哪个胜出？
问题求解,评估,成本效益分析,,量化各选项的预期成本与收益，支撑理性的投入决策,成本有哪些？|收益有哪些？|逐项量化|回收期多长？|投资回报率多少？|推荐哪个？
问题求解,评估,风险评估矩阵,,按可能性与影响两维评估风险，排出缓解优先级,可能出什么错？|概率多大？|影响多大？|标到矩阵上|风险分值多少？|缓解计划是什么？
问题求解,评估,试点验证方案,,设计小规模实验，在全面投入前验证解法,验证什么？|成功判据是什么？|试验方案是什么？|要收集哪些数据？|学到了什么？|放大还是转向？
问题求解,评估,可行性研究,,从技术、运营、财务、进度四方面评估选项是否可行,技术上可行吗？|运营上可行吗？|财务上成立吗？|进度现实吗？|总体可行性如何？
问题求解,实施,PDCA 循环,,计划-执行-检查-处理循环推进落地，持续学习与校正,计划是什么？|执行计划|检查结果|哪些奏效？|哪些没奏效？|调整并重复
问题求解,实施,甘特图规划,,用任务、依赖与里程碑把时间线可视化，让执行一目了然,有哪些任务？|顺序如何？|依赖是什么？|时间线多长？|谁负责？|里程碑有哪些？
问题求解,实施,利益相关方地图,,识别全部受影响方，规划争取支持与化解抵制的打法,谁受影响？|他们的利益是什么？|他们的影响力多大？|争取策略是什么？|如何沟通？
问题求解,实施,变革管理规程,,系统处理落地中的组织与人的维度,变的是什么？|谁会受冲击？|预计什么抵制？|如何沟通？|如何支持过渡？|如何保持？
问题求解,实施,监控看板,,为关键指标建可视化跟踪，确保解法交付预期结果,哪些指标重要？|目标值是多少？|如何度量？|如何可视化？|什么触发行动？|多久复盘一次？
问题求解,创意,假设击破,,找出并挑战底层假设，打开新的解法可能,我们假设了什么？|如果反过来会怎样？|去掉这个假设会怎样？|什么变得可能？
问题求解,创意,随机词联想,,用随机刺激逼出意外的连接模式，浮现新奇解法,抽一个随机词|它怎么关联？|浮现出哪些连接？|激发出什么想法？|让它变得相关
问题求解,创意,反向头脑风暴,,先想「怎么制造或加剧这个问题」，再把洞见反转成解法,怎么制造这个问题？|怎么让它更糟？|怎样保证失败？|现在反转洞见|浮现出什么解法？
问题求解,创意,六顶思考帽,,从事实、情绪、收益、风险、创意、流程六个视角看问题，得到全面判断,白帽事实？|红帽感受？|黄帽好处？|黑帽风险？|绿帽替代方案？|蓝帽流程？
问题求解,创意,问题版 SCAMPER,,用替代、合并、适配、修改、他用、消除、反向七个镜头扫一遍问题,可替代什么？|可合并什么？|可适配什么？|可修改什么？|还有别的用途吗？|可消除什么？|可反向什么？
设计思维,共情,用户访谈,,用深度对话与主动倾听，理解用户的需求、经历与痛点,你今天为什么来？|讲讲最近的一次经历|最让你受挫的是什么？|什么会让它更容易？|再多说说这一点
设计思维,共情,共情地图,,把用户说的、想的、做的、感受的画成一张图，建立深度理解,他说了什么？|他可能在盘算什么？|他做了什么动作？|浮现出哪些情绪？
设计思维,共情,影子观察,,在用户的真实环境里观察，看见没说出口的行为与情境因素,不打断地观察|记下他的绕行做法|浮现出什么模式？|他有什么没说？
设计思维,共情,旅程地图,,沿全部触点评议用户完整体验，定位痛点与机会,起点在哪里？|走了哪些步骤？|在哪里卡住？|什么让他惊喜？|情绪曲线如何？
设计思维,共情,日记研究,,让用户在一段时间里记录体验，捕捉真实瞬间与演变中的需求,你今天经历了什么？|感觉如何？|什么奏效、什么没奏效？|什么让你意外？
设计思维,定义,问题框定,,把观察转成清晰、可行动、能激发解法的问题陈述,真正的问题是什么？|谁在经历它？|为什么重要？|成功会是什么样？
设计思维,定义,我们可以怎样,,把问题重述为机会式提问，打开解法空间而不预设答案,我们可以怎样帮助用户…？|我们可以怎样让…更容易？|我们可以怎样减少…的摩擦？
设计思维,定义,观点陈述,,写出具体的人本问题陈述，讲清是谁、要什么、为什么,哪种用户需要什么、因为什么洞见|这个需求由什么驱动？|为什么对他重要？
设计思维,定义,亲和聚类,,把相关观察与洞见分组，浮现模式与机会主题,这些之间什么相连？|浮现出什么主题？|把相似项归组|给每组命名|它们讲了个什么故事？
设计思维,定义,待办任务,,找出用户雇用方案要完成的功能、情感与社会任务,他想完成什么任务？|他想要什么进展？|他真正雇用它是为了什么？|有哪些替代方案？
设计思维,构思,头脑风暴,,不加评判地大量生成多样想法，充分铺开解法空间,没有坏点子|在他人的想法上叠加|追求数量|用图示表达|紧扣主题|推迟评判
设计思维,构思,疯狂八分钟,,八分钟快速画八个解法变体，逼出快速创造,把纸折成八格|每格一分钟|别过度思考|数量优先于质量|越过显而易见的
设计思维,构思,设计版 SCAMPER,,用替代、合并、适配、修改、他用、消除、反向七个设计镜头改造既有方案,可以替代什么？|可以组合什么元素？|可以适配什么？|可以怎么修改？|还有别的用途吗？|可以消除什么？|反过来会怎样？
设计思维,构思,挑逗性原型,,故意做出挑衅或极端的原型，引爆突破性思考,最极端的版本是什么？|做到荒唐|推开边界|浮现出哪些有用的洞见？
设计思维,构思,类比启发,,从完全不同的领域找灵感，激发创新连接,还有哪个领域解过这个？|自然界怎么处理？|有什么可类比的问题？|能借鉴什么？
设计思维,原型,纸面原型,,快速做低保真草图与模型，让想法可被测试,画出来|做得粗糙些|聚焦核心概念|测试假设|快速学习
设计思维,原型,角色扮演,,演出用户场景与服务互动，测试体验流程与痛点,扮演用户|把场景演出来|哪里别扭？|哪里会断？|什么奏效？
设计思维,原型,绿野仙踪法,,幕后台人工模拟复杂功能，在开发前先验证概念,假装后端已存在|聚焦体验|用户以为正在发生什么？|概念成立吗？
设计思维,原型,故事板,,把跨时间、跨触点的体验画成连续图景,第一幕是什么？|怎么推进？|情绪旅程如何？|高潮在哪？|怎么收尾？
设计思维,原型,实体模型,,做出可触摸、可交互的实物，验证形态与功能,做成三维的|用基本材料|让它可交互|测人机工学|收集反应
设计思维,测试,可用性测试,,看用户用原型完成任务，找出摩擦点与机会,试着完成某项任务|请出声思考|不要帮他|他在哪里卡住？|什么让他意外？
设计思维,测试,反馈采集格,,把反馈组织成喜欢、疑问、点子与待改四格，转成可行动的洞见,他喜欢什么？|出现了哪些疑问？|他有什么点子？|什么需要改？
设计思维,测试,A/B 测试,,对比两个版本，看哪种更满足用户需求,展示 A 版|展示 B 版|哪个更好？|差异为什么出现？|数据说明什么？
设计思维,测试,假设验证,,找出并验证解法赖以成立的关键假设，降低风险,我们假设了什么？|怎么验证它？|什么能证伪我们？|最危险的假设是哪个？
设计思维,测试,迭代精修,,用测试洞见在快速循环里改进原型并再测,学到了什么？|什么需要修？|什么保留？|快速改|再测一次
设计思维,落地,试点项目,,先小范围真实落地，学到经验再全面铺开,从小开始|真实用户|真实情境|什么会坏？|什么奏效？|把经验放大
设计思维,落地,服务蓝图,,画出全部服务组件、互动与触点，指导落地,用户可见的是什么？|幕后发生了什么？|需要哪些系统？|交接点在哪？
设计思维,落地,设计系统建设,,建一致的模式、组件与规范，支撑可扩展的落地,哪些模式在重复？|做可复用组件|把标准写下来|保障一致性
设计思维,落地,利益相关方对齐,,带团队与相关方走一遍旅程，建立共识与承诺,展示研究|走一遍原型|讲用户故事|建立共情|拿到认可
设计思维,落地,度量框架,,定义成功指标与反馈回路，跟踪影响并指导后续迭代,如何度量成功？|关键指标有哪些？|怎么收集反馈？|何时复盘？
叙事,转变,英雄之旅,hero-journey,主角历经冒险与回归、带回智慧的经典转变弧,英雄是谁？|他的平凡世界是什么样？|什么召唤打破了他的世界？|他要面对哪些试炼？|他如何被转变？
叙事,转变,皮克斯故事脊柱,pixar-spine,用「从前……每天……直到有一天……」的句式搭出从张力到化解的情绪结构,从前是什么样？|每天发生什么？|直到有一天什么变了？|因此接着发生了什么？|最终怎样化解？
叙事,转变,客户旅程故事,customer-journey,跟着客户从痛点到解法再到成功的转变叙事,之前他为什么挣扎？|觉醒的那一刻是什么？|他怎么落地实施？|发生了怎样的转变？|他的新常态是什么？
叙事,转变,克服挑战,challenge-overcome,以直面并战胜重大障碍为核心的戏剧结构,什么障碍挡住了进展？|赌注如何升级？|最黑暗的时刻是什么？|出现了什么突破？|学到了什么？
叙事,转变,人物弧光,character-arc,在经历与挣扎中展示个人成长的故事,起点时他是谁？|什么力量推动改变？|他在抵抗什么？|什么突破扭转了他？|他变成了谁？
叙事,战略,品牌故事,brand-story,传达品牌价值、使命与独特市场位置的真实叙事,什么点燃了这个品牌？|驱动它的核心价值是什么？|它如何影响客户？|它凭什么不同？|它要往哪去？
叙事,战略,愿景叙事,vision-narrative,面向未来，描绘目标状态与到达路径的鲜活图景,当下的现实是什么？|浮现出什么机会？|大胆愿景是什么？|战略路径是什么？|转变后的未来什么样？
叙事,战略,起源故事,origin-story,讲清某事物如何诞生、以及今天为何重要的奠基叙事,点燃的那一刻是什么？|早期经历了哪些挣扎？|关键突破是什么？|它如何演变？|当前的使命是什么？
叙事,战略,定位故事,positioning-story,确立独特市场位置与竞争差异的叙事,市场缺口在哪里？|你凭什么独一无二？|你的打法有何不同？|听众为什么要在意？|你开启怎样的未来？
叙事,战略,文化故事,culture-story,定义组织价值、行为与身份的内部叙事,什么原则指导决策？|哪些行为体现文化？|哪些故事说明价值？|人们怎么体验到它？|你要建设什么文化？
叙事,说服,路演叙事,pitch-narrative,为激发行动、投资或合作而设计的说服性故事结构,问题版图是什么样？|你对解法的愿景是什么？|什么证据支持这条路？|机会规模有多大？|你要对方做什么？
叙事,说服,销售故事,sales-story,以客户为中心、展示价值并激发购买欲的叙事,他感受到什么痛？|你如何理解它？|什么解法改变了处境？|他能期待什么结果？|下一步怎么走？
叙事,说服,变革故事,change-story,论证转型的必要并带动人们走过过渡的叙事,为什么不能停在原地？|更好是什么样？|不变会付出什么代价？|怎么走到那里？|对他有什么好处？
叙事,说服,募资故事,fundraising-story,把捐赠者的价值与使命影响连起来的动情叙事,什么难题让人揪心？|什么解法带来希望？|这笔投入会带来什么影响？|为什么紧迫？|他们能怎么帮？
叙事,说服,倡导故事,advocacy-story,为事业、运动或政策变革凝聚支持的故事,什么不公需要被看见？|谁受了影响、怎么受影响？|需要什么改变？|行动起来会怎样？|他们如何加入？
叙事,分析,数据叙事,data-story,把数据洞见变成有明确可行动结论的叙事,需要什么背景？|数据揭示了什么洞见？|什么模式解释了它？|所以呢、为什么重要？|接下来该做什么？
叙事,分析,案例研究,case-study,记录真实应用、结果与心得的详细叙事,当时的情形是什么？|采用了什么做法？|出现了哪些挑战？|取得了什么结果？|哪些经验可迁移？
叙事,分析,研究叙事,research-story,用故事结构把研究发现讲得易懂又有吸引力,驱动研究的问题是什么？|怎么研究的？|发现了什么？|这意味着什么？|有什么启示？
叙事,分析,洞见叙事,insight-narrative,揭示改变认知的非显然真相或模式的叙事,大家原本假设什么？|你注意到了什么？|浮现出什么更深的模式？|为什么重要？|应该改变什么？
叙事,分析,过程故事,process-story,讲清某事物如何被做出来的幕后叙事,在创造什么？|选了什么做法？|出现了哪些挑战？|怎么解决的？|学到了什么？
叙事,情感,钩子驱动,hook-driven,用强有力的开场与触点把情感参与拉满的故事结构,什么意外事实开场？|浮现出什么紧迫问题？|情绪峰值在哪里？|什么让人有共鸣？|什么回报让人满足？
叙事,情感,冲突化解,conflict-resolution,以张力积累与核心冲突令人满意的化解为中心的叙事,核心冲突是什么？|谁想要什么、为什么？|什么阻碍了化解？|张力如何升级？|如何化解？
叙事,情感,共情故事,empathy-story,建立情感连接、让人理解另一种视角的故事,我们取谁的视角？|他经历了什么？|他感受到什么？|听众为什么要在意？|共同点在哪里？
叙事,情感,人情故事,human-interest,凸显普世人类经验与情感的个体故事,中心人物是谁？|他的个人赌注是什么？|浮现出什么普世主题？|走过怎样的情绪旅程？|为什么让人共鸣？
叙事,情感,脆弱故事,vulnerable-story,分享挣扎、失败或生猛真相的真实个人叙事，建立连接,什么真相难以启齿？|经历了什么挣扎？|学到了什么？|为什么现在讲出来？|它带来什么希望？
